1024, 0.5, 9.7, 0.05416666666666667
2048, 4.1, 20, 0.2125
3072, 19, 38, 0.5
4096, 48, 55, 0.9166666666666666
5129, 98, 86, 1.1666666666666667
6144, 170, 82, 2.0
7168, 270, 96, 2.75
8192, 480, 140, 3.5833333333333335
10240, 930, 170, 5.833333333333333
12288, 1700, 200, 8.333333333333334
14336, 2600, 240, 11.25
16384, 3900, 270, 14.583333333333334
20480, 8900, 390, 22.916666666666668
24576, 17000, 380, 45.833333333333336
28672, 26000, 450, 58.333333333333336
32768, 38000, 630, 62.5
40960, 180000, 1300, 145.83333333333334
49152, 310000, 1500, 212.5
57344, 500000, 1800, 287.5
65536, 740000, 2000, 370.8333333333333
