Parameters(n=1024, n_e=1493, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=28, gate_error_rate=0.001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=43)), PhysicalCost(p=0.10024015258642083, t=14 days, 15:05:00.533067, exp_t=16 days, 6:11:48.752785), 11260, 4182, PhysicalCost(p=None, t=0:21:09.708770, exp_t=0:21:09.708770), 166339050, 86 ms, 563411264 days, 390.19687577370865, 0.01126, 0.18306736755049832
Parameters(n=1024, n_e=1493, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=28, gate_error_rate=0.0001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=17)), PhysicalCost(p=0.10175149884329049, t=5 days, 8:38:23.551251, exp_t=5 days, 23:12:42.843305), 1796, 4182, PhysicalCost(p=None, t=0:07:45.231746, exp_t=0:07:45.231746), 10308630, 31 ms, 12815265 days, 143.21190091801193, 0.001796, 0.010717023918697895
Parameters(n=1024, n_e=1493, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=28, gate_error_rate=1e-05, extra_opts=Parameters(debitage=2, fs_distance=None, distance=11)), PhysicalCost(p=0.021967255288441345, t=3 days, 5:18:24.247755, exp_t=3 days, 7:02:35.143230), 764, 4182, PhysicalCost(p=None, t=0:04:39.583202, exp_t=0:04:39.583202), 2806122, 19 ms, 1925387 days, 79.04309534156417, 0.000764, 0.0025162052017064594
Parameters(n=1024, n_e=1493, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=28, gate_error_rate=1e-06, extra_opts=Parameters(debitage=2, fs_distance=None, distance=7)), PhysicalCost(p=0.1094570569347818, t=1 day, 19:05:04.712091, exp_t=2 days, 0:22:48.706067), 316, 4182, PhysicalCost(p=None, t=0:02:35.817506, exp_t=0:02:35.817506), 731850, 10 ms, 307353 days, 48.38019612969089, 0.000316, 0.0006370059157075966
Parameters(n=1024, n_e=1493, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=28, gate_error_rate=1e-07, extra_opts=Parameters(debitage=2, fs_distance=None, distance=5)), PhysicalCost(p=0.278615155816781, t=1 day, 1:58:24.944259, exp_t=1 day, 12:00:18.670274), 164, 4182, PhysicalCost(p=None, t=0:01:33.934658, exp_t=0:01:33.934658), 271830, 6 ms, 84959 days, 36.005186187153356, 0.000164, 0.0002460354389455479
Parameters(n=2048, n_e=3029, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=31, gate_error_rate=0.001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=47)), PhysicalCost(p=0.13583106678170698, t=127 days, 4:24:50.964904, exp_t=147 days, 4:11:46.048578), 13436, 8287, PhysicalCost(p=None, t=1:30:41.602666, exp_t=1:30:41.602666), 430385345, 186 ms, 13196227845 days, 3532.196124605099, 0.013436, 1.9774411304247548
Parameters(n=2048, n_e=3029, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=31, gate_error_rate=0.0001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=19)), PhysicalCost(p=0.09027220761672261, t=48 days, 2:38:39.381852, exp_t=52 days, 21:13:10.274997), 2236, 8287, PhysicalCost(p=None, t=0:34:18.408544, exp_t=0:34:18.408544), 28498993, 70 ms, 313988526 days, 1269.2195208324506, 0.002236, 0.11824895202422332
Parameters(n=2048, n_e=3029, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=31, gate_error_rate=1e-05, extra_opts=Parameters(debitage=2, fs_distance=None, distance=11)), PhysicalCost(p=0.14940369064078818, t=25 days, 12:25:27.500980, exp_t=29 days, 23:59:38.682156), 764, 8287, PhysicalCost(p=None, t=0:18:11.781653, exp_t=0:18:11.781653), 5560577, 37 ms, 34753320 days, 719.9940783767819, 0.000764, 0.022919811494994224
Parameters(n=2048, n_e=3029, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=31, gate_error_rate=1e-06, extra_opts=Parameters(debitage=2, fs_distance=None, distance=9)), PhysicalCost(p=0.005811061969572706, t=19 days, 20:52:09.530762, exp_t=19 days, 23:39:23.862574), 516, 8287, PhysicalCost(p=None, t=0:14:10.124929, exp_t=0:14:10.124929), 3057903, 29 ms, 12732148 days, 479.6566284928437, 0.000516, 0.01031261751259614
Parameters(n=2048, n_e=3029, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=31, gate_error_rate=1e-07, extra_opts=Parameters(debitage=2, fs_distance=None, distance=7)), PhysicalCost(p=0.0035051767839199277, t=14 days, 5:18:51.560544, exp_t=14 days, 6:30:53.631506), 316, 8287, PhysicalCost(p=None, t=0:10:08.468207, exp_t=0:10:08.468207), 1450225, 21 ms, 4311837 days, 342.51489764069026, 0.000316, 0.004509779485602421
Parameters(n=3072, n_e=4565, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=33, gate_error_rate=0.001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=49)), PhysicalCost(p=0.18732890225437293, t=446 days, 14:23:17.445246, exp_t=549 days, 13:05:05.973530), 14596, 12389, PhysicalCost(p=None, t=3:31:18.772252, exp_t=3:31:18.772252), 729080261, 291 ms, 83471367437 days, 13189.084992647227, 0.014596, 8.021161856361621
Parameters(n=3072, n_e=4565, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=32, gate_error_rate=0.0001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=19)), PhysicalCost(p=0.2709339101431455, t=161 days, 16:18:06.557013, exp_t=221 days, 18:17:27.268881), 2236, 12386, PhysicalCost(p=None, t=1:16:30.007408, exp_t=1:16:30.007408), 42595454, 105 ms, 1967928798 days, 5322.29090802242, 0.002236, 0.4958601029307555
Parameters(n=3072, n_e=4565, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=32, gate_error_rate=1e-05, extra_opts=Parameters(debitage=2, fs_distance=None, distance=11)), PhysicalCost(p=0.4184245611694508, t=85 days, 18:06:44.141653, exp_t=147 days, 10:51:24.883296), 764, 12386, PhysicalCost(p=None, t=0:40:34.540144, exp_t=0:40:34.540144), 8311006, 56 ms, 255307821 days, 3538.856912026564, 0.000764, 0.11265361169951228
Parameters(n=3072, n_e=4565, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=33, gate_error_rate=1e-06, extra_opts=Parameters(debitage=2, fs_distance=None, distance=9)), PhysicalCost(p=0.016728253254105985, t=66 days, 19:17:39.712806, exp_t=67 days, 22:34:15.487619), 516, 12389, PhysicalCost(p=None, t=0:31:36.535552, exp_t=0:31:36.535552), 4571541, 43 ms, 64706789 days, 1630.5709687829267, 0.000516, 0.035057275828832925
Parameters(n=3072, n_e=4565, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=33, gate_error_rate=1e-07, extra_opts=Parameters(debitage=2, fs_distance=None, distance=7)), PhysicalCost(p=0.009034204307238447, t=47 days, 19:32:22.826184, exp_t=48 days, 6:00:04.659192), 316, 12389, PhysicalCost(p=None, t=0:22:37.423718, exp_t=0:22:37.423718), 2168075, 31 ms, 21793695 days, 1158.0012942200303, 0.000316, 0.015247017040563733
Parameters(n=4096, n_e=6101, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=34, gate_error_rate=0.001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=53)), PhysicalCost(p=0.0860719881663562, t=1146 days, 0:37:18.730687, exp_t=1253 days, 22:57:15.952731), 17060, 16488, PhysicalCost(p=None, t=6:45:44.192075, exp_t=6:45:44.192075), 1227778920, 420 ms, 320746099385 days, 30094.9544313143, 0.01706, 21.392496774925917
Parameters(n=4096, n_e=6101, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=34, gate_error_rate=0.0001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=21)), PhysicalCost(p=0.08361087260591304, t=427 days, 10:54:47.318911, exp_t=466 days, 10:55:51.968548), 2724, 16488, PhysicalCost(p=None, t=2:31:20.108555, exp_t=2:31:20.108555), 76520808, 157 ms, 7436156020 days, 11194.931102374452, 0.002724, 1.2706246801195002
Parameters(n=4096, n_e=6101, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=34, gate_error_rate=1e-05, extra_opts=Parameters(debitage=2, fs_distance=None, distance=13)), PhysicalCost(p=0.03445767160381841, t=247 days, 19:29:09.465967, exp_t=256 days, 15:44:10.058687), 1060, 16488, PhysicalCost(p=None, t=1:27:44.087675, exp_t=1:27:44.087675), 18219240, 91 ms, 974181518 days, 6159.736127413095, 0.00106, 0.2720550122940784
Parameters(n=4096, n_e=6101, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=34, gate_error_rate=1e-06, extra_opts=Parameters(debitage=2, fs_distance=None, distance=9)), PhysicalCost(p=0.03834474580634928, t=157 days, 23:46:20.539495, exp_t=164 days, 6:57:51.614352), 516, 16488, PhysicalCost(p=None, t=0:55:56.077235, exp_t=0:55:56.077235), 6084072, 58 ms, 208240268 days, 3942.964337319883, 0.000516, 0.08477373325237747
Parameters(n=4096, n_e=6101, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=34, gate_error_rate=1e-07, extra_opts=Parameters(debitage=2, fs_distance=None, distance=7)), PhysicalCost(p=0.020446558991248143, t=113 days, 1:54:56.076259, exp_t=115 days, 10:33:50.682999), 316, 16488, PhysicalCost(p=None, t=0:40:02.072015, exp_t=0:40:02.072015), 2885400, 41 ms, 69393972 days, 2770.564078610868, 0.000316, 0.03647909370170976
Parameters(n=8192, n_e=12245, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, deviation_padding=37, gate_error_rate=0.001, extra_opts=Parameters(debitage=2, fs_distance=None, distance=57)), PhysicalCost(p=0.12500276382147235, t=9851 days, 4:30:18.294830, exp_t=11258 days, 12:51:33.448687), 19716, 32881, PhysicalCost(p=None, t=1 day, 4:57:43.902814, exp_t=1 day, 4:57:43.902814), 3045602625, 904 ms, 7143547124526 days, 270204.859291302, 0.019716, 221.97329190780457
